articles,country,lat,lon
201,singapore,1.37,103.8
174,indonesia,-5.0,120.0
163,india,20.0,77.0
111,china,35.0,105.0
38,vietnam,16.17,107.83
25,malaysia,2.5,112.5
23,japan,37.23,138.25
21,philippines,13.0,122.0
20,thailand,15.0,100.0
10,myanmar,22.0,98.0
3,bangladesh,24.0,90.0
3,israel,31.18,34.88
3,pakistan,30.0,70.0
1,georgia,42.0,43.5
1,saudi arabia,21.62,47.11
